fileNo,itemNo,filename,Patient ,Instrument,Verb,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5
1,1,BEND.mp4,Spoon,,Bend,The curtain closes.,The curtains covers the spoon.,The spoon is bent.,The spoon is on the stage.,The spoon is metal.
2,2,CHOP.mp4,Carrot,Knife,Cut,The knife chops the carrot.,The curtain covers the carrot.,The curtains close.,The curtains are red.,The carrot is on the stage.
